#Manually made lookup from author provided info to the canonical institute name.,
#The order matters here, the matching starts at the top of the list and stops when something is found.
#Ignore The, so The University of Bristol is University of Bristol.
#Group alphabetically by the main name, so all variations of Bristol should be in B.
#,
#Do email addresses first - they are much more structured than postal addresses, and usually people have one.
Lancashire Teaching Hospitals NHS Foundation Trust,Lancashire Teaching Hospitals NHS Foundation Trust
Leeds General Infirmary,Leeds General Infirmary
Liverpool School of Tropical Medicine,Liverpool School of Tropical Medicine
Ty Bryn Unit,"St Cadoc's Hospital"
University Hospital of South Manchester,University Hospital of South Manchester NHS Foundation Trust
Mersey Care NHS Foundation Trust,Mersey Care NHS Foundation Trust
University Hospitals of Morecambe Bay NHS Trust,University Hospitals of Morecambe Bay NHS Trust
NICE,National Institute for Health and Care Excellence
Ninewells Hospital,Ninewells Hospital
North Bristol NHS Trust,North Bristol NHS Trust
Northlands R & D Unit,Northlands R & D Unit
Northwick Park Hospital,Northwick Park Hospital
"University Hospital, Queens Medical Centre, Nottingham",Queen's Medical Centre
University Hospital of Nottingham,Queen's Medical Centre
"Duncan Macmillan House, Porchester Road",Nottinghamshire Healthcare NHS Foundation Trust
University Hospital Nottingham,University Hospital Nottingham
"Park Hospital, Headington, Oxford, UK.","Park Hospital for Children"
the Royal College of Surgeons in Ireland,The Royal College of Surgeons in Ireland
Poole Hospital NHS Foundation Trust,Poole Hospital NHS Foundation Trust
Public Health Wales,Public Health Wales
"Queen Elizabeth Hospital, Woolwich","Queen Elizabeth Hospital, London"
Royal United Hospital,Royal United Hospital
Royal Alexandra Children's Hospital,Royal Alexandra Children's Hospital
Royal Free Hospital School of Medicine,Royal Free Hospital
Royal Free,Royal Free Hospital
Royal Liverpool University Hospital,Royal Liverpool University Hospital
Southampton General Hospital,Southampton General Hospital
Southmead Hospital,Southmead Hospital
St. Bartholomew's,St Bartholomew's Hospital
St. George's Hospital,St George's Hospital
St George's Hospital,St George's Hospital
St George's,St George's Hospital
St Mary's Hospital,St Mary's Hospital
St Thomas' Hospital,St Thomas' Hospital
"Severn Deanery, Deanery House Unit D, Vantage Office Park Hambrook, Bristol, United Kingdom.","Severn Deanery"
Taunton and Somerset Hospital,Taunton and Somerset NHS Foundation Trust
"Vascular Physiology Unit, National Centre for Cardiovascular Disease Prevention & Outcomes","University College London"
"Leopold Muller Centre for Child and Family Mental Health","University College London"
Medical Research Council Prion Unit and Department of Neurodegenerative Disease,University College London
"Institute of Child Health, London","Institute of Child Health, London"
United Bristol Healthcare Trust,University of Bristol
The Walton Centre for Neurology & Neurosurgery NHS Foundation Trust,The Walton Centre NHS Foundation Trust
The Walton Centre NHS Foundation Trust,The Walton Centre NHS Foundation Trust
"Elsie Widdowson Laboratory, Cambridge","Elsie Widdowson Laboratory, Cambridge"
International Longevity Centre UK,International Longevity Centre UK
,
################################################################################################,
#International,
##,
23andMe,23andMe
#A,
Aalborg University Hospital,Aalborg University Hospital
Aarhus University,Aarhus University
University of Adelaide,North Terrace campus
University of Alabama,University of Alabama
University at Albany,University at Albany
University of Alberta,University of Alberta
University of Amsterdam,University of Amsterdam
Amsterdam Medical Center,Amsterdam Medical Center
Ankara University,Ankara University
Arabian Gulf University,Arabian Gulf University
Academic Medical Center,Academic Medical Center
Academic Medical Centre,Academic Medical Center
University of Auckland,University of Auckland
Australian National University,Australian National University
Arak University of Medical Sciences,Arak University of Medical Sciences
#B,
Instituto de Salud Global de Barcelona,University of Barcelona
"Centre for Research in Environmental Epidemiology, Barcelona","Centre for Research in Environmental Epidemiology, Barcelona"
Baylor College of Medicine,Baylor College of Medicine
University of Belgrade,University of Belgrade
Boston University,Boston University
Children's Hospital Boston,Boston Children's Hospital
Brigham and Women's Hospital,Brigham and Women's Hospital
Broad Institute,Broad Institute
"Bethesda, Maryland",Eunice Kennedy Shriver National Institute of Child Health and Human Development
#C,
University of California,University of California
Cancer Treatment Centers of America,Cancer Treatment Centers of America
Case Western Reserve University,Case Western Reserve University
Cedars-Sinai Medical Center,Cedars-Sinai Medical Center
University of Chicago,University of Chicago
Children's National Medical Center,Children's National Medical Center
Chinese Academy of Sciences,Chinese Academy of Sciences
Christchurch School of Medicine,University of Otago
St. Clare's Mercy Hospital,St. Clare's Mercy Hospital
"Centres for Disease Control Prevention, Atlanta","Centers for Disease Control and Prevention"
"Centers for Disease Control and Prevention, Atlanta","Centers for Disease Control and Prevention"
University of Colorado,University of Colorado
Columbia University,Columbia University
University of Copenhagen,University of Copenhagen
Copenhagen University,University of Copenhagen
Københavns Universitet,University of Copenhagen
Cork University Maternity Hospital,Cork University Hospital
Cornell University,Cornell University
Czech Academy of Sciences,Czech Academy of Sciences
Center for Genomic Regulation,Center for Genomic Regulation
Centre for Research in Epidemiology and Population Health - Villejuif,Centre for Research in Epidemiology and Population Health
"Children's Memorial Hospital, Chicago","Children's Memorial Hospital, Chicago"
Charité Universitätsmedizin Berlin,Charité
Charite´-University Medicine Berlin,Charité
Centre for Research and Technology Hellas,Centre for Research and Technology Hellas
#D,
Dalhousie University,Dalhousie University
Deakin University,Deakin University
deCODE Genetics,deCODE Genetics
Deodoro,Deodoro
UCD Dublin, University College Dublin
University College Dublin,University College Dublin
Duke University,Duke University
#E,
East Tennessee State University,East Tennessee State University
Emory University,Emory University
Erasmus MC,Erasmus MC
Erasmus Medical Center,Erasmus MC
Erasmus University Medical Centre,Erasmus MC
Eunice Kennedy Shriver National Institute of Child Health and Human Development,Eunice Kennedy Shriver National Institute of Child Health and Human Development
#F,
Feinstein Institute for Medical Research,Feinstein Institute for Medical Research
Flinders University,Flinders University
University of Florence,University of Florence
Fred Hutchinson Cancer Research Center,Fred Hutchinson Cancer Research Center
University of Florida,University of Florida
#G,
iGE3,University of Geneva
Geisel School of Medicine at Dartmouth,Geisel School of Medicine at Dartmouth
Ghent University,Ghent University
GlaxoSmithKline R&D,GlaxoSmithKline R&D
Universidad de Granada,University of Granada
University of Groningen,University of Groningen
"University Medical Center, Groningen",University of Groningen
NUI Galway,NUI Galway
Gairdner,Sir Charles Gairdner Hospital
#H,
University of Heidelberg,University of Heidelberg
University of Hong Kong,University of Hong Kong
Hadassah-Hebrew University,Hebrew University of Jerusalem
Harbin Medical University,Harbin Medical University
Hong Kong Polytechnic University,Hong Kong Polytechnic University
Harokopio University,Harokopio University
Harvard University,Harvard University
Harvard School of Public Health,Harvard University
The Hebrew University and Hadassah,Hebrew University of Jerusalem
Hong Kong University of Science and Technology,Hong Kong University of Science and Technology
Hunan Normal University,Hunan Normal University
FIMM,University of Helsinki
University of Helsinki,University of Helsinki
The Generation R Study Group,Erasmus University Rotterdam
Helmholtz Zentrum Muenchen,Helmholtz Zentrum München
University of Hawai'i,University of Hawaii
#I,
Icahn School of Medicine at Mount Sinai,Icahn School of Medicine at Mount Sinai
University of Illinois at Chicago,University of Illinois at Chicago
Indiana University,Indiana University
INSERM,INSERM
"Institute for Human Services Research, Hong Kong","Institute for Human Services Research, Hong Kong"
International Agency for Research on Cancer,International Agency for Research on Cancer
University of Iowa,University of Iowa
Istituto di Studi sui Sistemi Intelligenti per l'Automazione - CNR,Istituto di Studi sui Sistemi Intelligenti per l'Automazione - CNR
Istituto di Studi sui Sistemi Intelligenti per l'Automazione - C.N.R.,Istituto di Studi sui Sistemi Intelligenti per l'Automazione - CNR
Isfahan University of Medical Sciences,Isfahan University of Medical Sciences
#J,
Johns Hopkins University,Johns Hopkins University
Johns Hopkins Medical Institutions,Johns Hopkins University
"Hunter Genetics, Hunter New England Health Service, NSW, Australia.","John Hunter Hospital"
Hospital for Sick Children,Hospital for Sick Children
"University Medical Center, Mainz", Johannes Gutenberg University Mainz
Johannes Gutenberg University-Mainz,Johannes Gutenberg University Mainz
#K,
Karolinska Institutet,Karolinska Institute
Christian-Albrechts-University,Kiel University
Christian-Albrechts University,Kiel University
Campus Kiel,Kiel University
King Faisal Specialist Hospital and Research Center,King Faisal Specialist Hospital and Research Center
King Saud Bin Abdulaziz University for Health Sciences,King Saud Bin Abdulaziz University for Health Sciences
King Abdullah University of Science and Technology,King Abdullah University of Science and Technology
King Abdullah International Medical Research Center,King Abdullah International Medical Research Center
Kio University,Kio University
Kwong Wah Hospital,Kwong Wah Hospital
KP Agricultural University,KP Agricultural University
#L,
University of Lausanne,University of Lausanne
Leiden University,Leiden University
University of Leipzig,University of Leipzig
Universität zu Lübeck,University of Lübeck
KULeuven,University of Leuven
#M,
M.I.T.,Massachusetts Institute of Technology
Massachusetts Institute of Technology,Massachusetts Institute of Technology
University of Massachusetts Lowell,University of Massachusetts Lowell
Massachusetts General Hospital,Massachusetts General Hospital
University of Manitoba,University of Manitoba
Max-Delbrück-Center (MDC) for Molecular Medicine,Max Delbrück Center for Molecular Medicine
Mayo clinic,Mayo Medical School
McGill University,McGill University
University of Miami,University of Miami
University of Michigan,University of Michigan
Michigan State University,Michigan State University
University of Minnesota,University of Minnesota
University of Missouri-Kansas City,University of Missouri-Kansas City
University of Melbourne,University of Melbourne
murdoch,Royal Children's Hospital
Max Planck Institute for Psycholinguistics,Max Planck Institute for Psycholinguistics
"Montefiore Medical Center/Albert Einstein College of Medicine","Montefiore Medical Center/Albert Einstein College of Medicine"
Monash University,Monash University
#N,
Nanjing Medical University,Nanjing Medical University
University of Naples Federico II,University of Naples Federico II
NIAA,National Institute on Alcohol Abuse and Alcoholism
"National Cancer Institute, National Institutes of Health","National Cancer Institute, National Institutes of Health"
National Institute on Alcohol Abuse and Alcoholism,National Institute on Alcohol Abuse and Alcoholism
National Institute on Aging,National Institute on Aging
National Human Genome Research Institute,National Human Genome Research Institute
National Taiwan University,National Taiwan University
LMBB,National Institute on Alcohol Abuse and Alcoholism
National Institute of Environmental Health Sciences,National Institute of Environmental Health Sciences
New Jersey Institute of Technology,New Jersey Institute of Technology
University of North Carolina,University of North Carolina
North Carolina State University,North Carolina State University
NYU,New York University
Hôpital Necker Enfants-Malades,Hôpital Necker – Enfants Malades
"UNC Hospitals, Chapel Hill",University of North Carolina at Chapel Hill
"Gillings School of Global Public Health, UNC-Chapel Hill",University of North Carolina at Chapel Hill
"National Center for Global Health and Medicine, Tokyo",National Center for Global Health and Medicine
#O,
Oklahoma Medical Research Foundation,Oklahoma Medical Research Foundation
Okan Üniversitesi,Okan University
University of Oregon,University of Oregon
Oregon Health & Science University,Oregon Health & Science University
Oslo University Hospital,University of Oslo
University of Otago,University of Otago
University of Ottawa,University of Ottawa
Örebro County Council,Örebro County Council
#P,
Institut Pasteur,Pasteur Institute
The Children's Hospital Philadelphia,Children's Hospital of Philadelphia
Children's Hospital of Philadelphia,Children's Hospital of Philadelphia
The Children's Hospital of Philadelphia,Children's Hospital of Philadelphia
Abramson Research Center,Children's Hospital of Philadelphia
Universitat Pompeu Fabra,Universitat Pompeu Fabra
Federal University of Pelotas,Federal University of Pelotas
PerkinElmer,PerkinElmer Inc.
Pennsylvania State University,Pennsylvania State University
Penn State University,Pennsylvania State University
"Center for Applied Genomics, Philadelphia","Center for Applied Genomics, Philadelphia"
Pierre et Marie Curie,University Pierre et Marie Curie
University of Eastern Piedmont,University of Eastern Piedmont
Children's Hospital of Pittsburgh of UPMC,Children's Hospital of Pittsburgh of UPMC
University of Porto,University of Porto
"PricewaterhouseCoopers ,  London","PricewaterhouseCoopers, London"
Princeton University,Princeton University
Hôpital de la Pitié-Salpêtrière,Pitié-Salpêtrière Hospital
Instituto de Parasitología y Biomedicina López-Neyra, Instituto de Parasitología y Biomedicina López - Neyra
University of Pittsburgh,University of Pittsburgh
#Q,
Qingdao University,Qingdao University
University of Queensland,University of Queensland
The Queensland Brain Institute,University of Queensland
Queensland Institute of Medical Research,QIMR Berghofer Medical Research Institute
QIMR Berghofer Medical Research Institute,QIMR Berghofer Medical Research Institute
Queensland University of Technology,Queensland University of Technology
#R,
RAND Corporation,RAND Corporation
Radboud University,Radboud University
University Regensburg,University Hospital Regensburg
Regensburg University Medical Center,University Hospital Regensburg
Research Triangle Institute International,Research Triangle Institute International
University of Rochester,University of Rochester
Erasmus University Medical Center,Erasmus MC
Erasmus University Rotterdam,Erasmus University Rotterdam
Rotterdam Eye Hospital,Rotterdam Eye Hospital
Royan Institute,Royan Institute
TX 75231,Retina Foundation of the Southwest
